id,timestamp,creator_id,ticket_id,send_email,payload
1,2022-10-19 22:57:26.071451+00,,1,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [6], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
14130,2024-10-31 06:07:01.872+00,,4052,f,"{""Tickets"": {""SetTagIds"": [49, 1, 16]}}"
4,2022-10-19 23:02:37.161913+00,,2,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [6], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
5,2022-10-20 21:21:07.474984+00,,3,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [7], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
6,2022-10-21 00:15:21.472775+00,,4,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [7], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
7,2022-10-21 00:17:48.92712+00,,5,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [8], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
11,2022-11-08 22:29:07.164605+00,495,5,f,"{""Tickets"": {""InternalNote"": ""test""}}"
12,2022-11-10 20:20:29.67707+00,,6,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [7], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
15,2022-12-09 21:51:46.152577+00,,7,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [7], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
16,2022-12-12 18:33:49.915604+00,,8,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [7], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
17,2022-12-12 18:34:40.615937+00,,9,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [8], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
18,2022-12-12 19:10:47.265765+00,,10,f,"{""Tickets"": {""Message"": null, ""SetStatus"": null, ""SetTagIds"": [6], ""SetPriority"": null, ""UnsetTagIds"": null, ""InternalNote"": null, ""SetAssigneeIds"": null, ""UnsetAssigneeIds"": null}}"
