id,status,created_time,subject,priority,creator_id,description,company_id,appliance_id,facility_id,updated_at
1,0,2022-10-19 22:57:26.071451+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
2,0,2022-10-19 23:02:37.161913+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
3,0,2022-10-20 21:21:07.474984+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
4,0,2022-10-21 00:15:21.472775+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
5,0,2022-10-21 00:17:48.92712+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
6,0,2022-11-10 20:20:29.67707+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
7,0,2022-12-09 21:51:46.152577+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
8,0,2022-12-12 18:33:49.915604+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
9,0,2022-12-12 18:34:40.615937+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
10,0,2022-12-12 19:10:47.265765+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
11,0,2022-12-12 21:05:32.699182+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
12,0,2022-12-13 04:01:15.688945+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
13,0,2022-12-14 18:36:25.984603+00,Application,1,,,,,,2025-09-18 00:58:50.917774+00
15,0,2022-12-07 14:46:35+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
16,0,2022-12-05 14:13:45+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
18,0,2022-12-01 00:06:40+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
19,0,2022-11-30 07:14:20+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
20,0,2022-11-30 01:31:22+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
21,0,2022-11-28 08:22:15+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
22,0,2022-11-24 10:40:49+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
23,0,2022-11-23 05:53:50+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
24,0,2022-11-23 03:56:18+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
25,0,2022-11-22 07:06:37+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
27,0,2022-11-21 01:13:27+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
28,0,2022-11-20 03:21:46+00,Application,2,,,,,,2025-09-18 00:58:50.917774+00
