id,name,class_id,facility_id,partitioning_mode,twelfths_occupied,old_appliance_id,is_visible,mac_address,endpoint,kiosk_partition_id,kind,square_feet,map_label
32,Oven 1,18,4,0,0,51,t,0013A20041DCA932,2,,0,,
4,Double Low Burner 1,2,1,0,0,13,t,0013A20041DCA78D,5,13,0,,
33,Oven 2,18,4,0,0,52,t,0013A20041DCA932,1,,0,,
16,Mixer,8,2,0,0,27,t,0013A20041F3822F,5,,0,,
64,Plug 3,32,5,0,0,87,t,0013A20041DCA85A,5,,0,,
24,Burner 3,2,1,0,0,43,t,0013A20041DCA63B,2,13,0,,
2,Oven 3,1,1,0,0,11,t,0013A20041DCA9AC,1,14,0,,
3,Oven 4,1,1,0,0,12,t,0013A20041DCA9AC,2,14,0,,
21,Oven 5,1,1,0,0,37,t,0013A20041DCA9AC,3,14,0,,
22,Oven 6,1,1,0,0,38,t,0013A20041DCA9AC,4,14,0,,
12,Oven 1,7,2,0,0,23,t,0013A20041F3822F,1,,0,,
14,Oven 3,7,2,0,0,25,t,0013A20041F3822F,3,,0,,
15,Oven 4,7,2,0,0,26,t,0013A20041F3822F,4,,0,,
7,Oven 1,1,1,0,0,16,t,0013A20041DCA78D,1,13,0,,
8,Range Left,4,1,0,0,17,t,0013A20041DCA78D,3,13,0,,
6,Range Right,3,1,0,0,15,t,0013A20041DCA78D,4,13,0,,
13,Oven 2,7,2,0,0,24,t,0013A20041F3822F,2,,0,,
25,Small Mixer,13,1,0,0,44,t,0013A20041DCA63B,4,13,0,,
23,Fryer,12,1,0,0,42,t,0013A20041DCA63B,3,13,0,,
9,Large Mixer,5,1,0,0,18,t,0013A20041DCA9AC,5,14,0,,
1,Oven 2,1,1,0,0,10,t,0013A20041DCA78D,2,13,0,,
5,Double Low Burner 2,2,1,0,0,14,t,0013A20041DCA63B,1,13,0,,
73,Station 1,,9,2,0,,t,,,,1,100,S1
109,Station 15,,1,2,0,,t,,,,1,100,15
110,Station 16,,1,2,0,,t,,,,1,100,16
111,Station 17,,1,2,0,,t,,,,1,100,17
105,Station 11,,1,2,0,,t,,,,1,100,11
106,Station 12,,1,2,0,,t,,,,1,100,12
107,Station 13,,1,2,0,,t,,,,1,100,13
108,Station 14,,1,2,0,,t,,,,1,100,14
112,Station 18,,1,2,0,,t,,,,1,100,18
86,Station 1,,5,2,0,,t,,,,1,100,1
78,Station 2,,2,2,0,,t,,,,1,100,2
95,Station 3,,4,2,0,,t,,,,1,100,3
99,Station 5,,1,2,0,,t,,,,1,100,5
96,Station 4,,4,2,0,,t,,,,1,100,4
97,Station 5,,4,2,0,,t,,,,1,100,5
101,Station 7,,1,2,0,,t,,,,1,100,7
