id,start_time,end_time,asset_id,principal_id,series_id,description,charge_id,booking_status,is_active
1,2022-11-10 11:00:00+00,2022-11-10 12:00:00+00,2,251,,,,3,t
3794,2023-05-19 15:00:00+00,2023-05-19 23:30:00+00,3,125,116,,,3,t
3685,2023-05-17 15:00:00+00,2023-05-17 18:00:00+00,22,125,107,,,3,t
3686,2023-05-18 15:00:00+00,2023-05-18 18:00:00+00,22,125,107,,,3,t
3687,2023-05-19 15:00:00+00,2023-05-19 18:00:00+00,22,125,107,,,3,t
3688,2023-05-20 15:00:00+00,2023-05-20 18:00:00+00,22,125,107,,,3,t
3689,2023-05-21 15:00:00+00,2023-05-21 18:00:00+00,22,125,107,,,3,t
3690,2023-05-22 15:00:00+00,2023-05-22 18:00:00+00,22,125,107,,,3,t
3691,2023-05-23 15:00:00+00,2023-05-23 18:00:00+00,22,125,107,,,3,t
3692,2023-05-24 15:00:00+00,2023-05-24 18:00:00+00,22,125,107,,,3,t
3693,2023-05-25 15:00:00+00,2023-05-25 18:00:00+00,22,125,107,,,3,t
3695,2023-05-27 15:00:00+00,2023-05-27 18:00:00+00,22,125,107,,,3,t
3696,2023-05-28 15:00:00+00,2023-05-28 18:00:00+00,22,125,107,,,3,t
3697,2023-05-29 15:00:00+00,2023-05-29 18:00:00+00,22,125,107,,,3,t
3698,2023-05-30 15:00:00+00,2023-05-30 18:00:00+00,22,125,107,,,3,t
3699,2023-05-31 15:00:00+00,2023-05-31 18:00:00+00,22,125,107,,,3,t
3701,2023-06-02 15:00:00+00,2023-06-02 18:00:00+00,22,125,107,,,3,t
3702,2023-06-03 15:00:00+00,2023-06-03 18:00:00+00,22,125,107,,,3,t
3703,2023-06-04 15:00:00+00,2023-06-04 18:00:00+00,22,125,107,,,3,t
3704,2023-06-05 15:00:00+00,2023-06-05 18:00:00+00,22,125,107,,,3,t
3705,2023-06-06 15:00:00+00,2023-06-06 18:00:00+00,22,125,107,,,3,t
3707,2023-06-08 15:00:00+00,2023-06-08 18:00:00+00,22,125,107,,,3,t
3708,2023-06-09 15:00:00+00,2023-06-09 18:00:00+00,22,125,107,,,3,t
3709,2023-06-10 15:00:00+00,2023-06-10 18:00:00+00,22,125,107,,,3,t
3710,2023-06-11 15:00:00+00,2023-06-11 18:00:00+00,22,125,107,,,3,t
3711,2023-06-12 15:00:00+00,2023-06-12 18:00:00+00,22,125,107,,,3,t
3712,2023-06-13 15:00:00+00,2023-06-13 18:00:00+00,22,125,107,,,3,t
3714,2023-06-15 15:00:00+00,2023-06-15 18:00:00+00,22,125,107,,,3,t
3715,2023-06-16 15:00:00+00,2023-06-16 18:00:00+00,22,125,107,,,3,t
3716,2023-06-17 15:00:00+00,2023-06-17 18:00:00+00,22,125,107,,,3,t
3717,2023-06-18 15:00:00+00,2023-06-18 18:00:00+00,22,125,107,,,3,t
3718,2023-06-19 15:00:00+00,2023-06-19 18:00:00+00,22,125,107,,,3,t
3720,2023-06-21 15:00:00+00,2023-06-21 18:00:00+00,22,125,107,,,3,t
3721,2023-06-22 15:00:00+00,2023-06-22 18:00:00+00,22,125,107,,,3,t
3722,2023-06-23 15:00:00+00,2023-06-23 18:00:00+00,22,125,107,,,3,t
3723,2023-06-24 15:00:00+00,2023-06-24 18:00:00+00,22,125,107,,,3,t
3724,2023-06-25 15:00:00+00,2023-06-25 18:00:00+00,22,125,107,,,3,t
3726,2023-06-27 15:00:00+00,2023-06-27 18:00:00+00,22,125,107,,,3,t
3727,2023-06-28 15:00:00+00,2023-06-28 18:00:00+00,22,125,107,,,3,t
3728,2023-06-29 15:00:00+00,2023-06-29 18:00:00+00,22,125,107,,,3,t
3729,2023-06-30 15:00:00+00,2023-06-30 18:00:00+00,22,125,107,,,3,t
3730,2023-07-01 15:00:00+00,2023-07-01 18:00:00+00,22,125,107,,,3,t
3731,2023-07-02 15:00:00+00,2023-07-02 18:00:00+00,22,125,107,,,3,t
3733,2023-07-04 15:00:00+00,2023-07-04 18:00:00+00,22,125,107,,,3,t
3734,2023-07-05 15:00:00+00,2023-07-05 18:00:00+00,22,125,107,,,3,t
3735,2023-07-06 15:00:00+00,2023-07-06 18:00:00+00,22,125,107,,,3,t
3736,2023-07-07 15:00:00+00,2023-07-07 18:00:00+00,22,125,107,,,3,t
3737,2023-07-08 15:00:00+00,2023-07-08 18:00:00+00,22,125,107,,,3,t
3795,2023-06-19 15:00:00+00,2023-06-19 23:30:00+00,3,125,116,,,3,t
1255,2023-04-12 17:09:01+00,2023-04-12 20:09:10+00,32,545,,,,3,t
3796,2023-07-19 15:00:00+00,2023-07-19 23:30:00+00,3,125,116,,,3,t
57,2022-11-16 20:00:00+00,2022-11-16 22:00:00+00,7,125,3,,,3,t
58,2022-11-23 20:00:00+00,2022-11-23 22:00:00+00,7,125,3,,,3,t
60,2022-12-07 20:00:00+00,2022-12-07 22:00:00+00,7,125,3,,,3,t
61,2022-12-14 20:00:00+00,2022-12-14 22:00:00+00,7,125,3,,,3,t
62,2022-12-21 20:00:00+00,2022-12-21 22:00:00+00,7,125,3,,,3,t
63,2022-12-28 20:00:00+00,2022-12-28 22:00:00+00,7,125,3,,,3,t
64,2023-01-04 20:00:00+00,2023-01-04 22:00:00+00,7,125,3,,,3,t
66,2023-01-18 20:00:00+00,2023-01-18 22:00:00+00,7,125,3,,,3,t
67,2023-01-25 20:00:00+00,2023-01-25 22:00:00+00,7,125,3,,,3,t
68,2023-02-01 20:00:00+00,2023-02-01 22:00:00+00,7,125,3,,,3,t
69,2023-02-08 20:00:00+00,2023-02-08 22:00:00+00,7,125,3,,,3,t
70,2023-02-15 20:00:00+00,2023-02-15 22:00:00+00,7,125,3,,,3,t
72,2023-03-01 20:00:00+00,2023-03-01 22:00:00+00,7,125,3,,,3,t
73,2023-03-08 20:00:00+00,2023-03-08 22:00:00+00,7,125,3,,,3,t
74,2023-03-15 20:00:00+00,2023-03-15 22:00:00+00,7,125,3,,,3,t
75,2023-03-22 20:00:00+00,2023-03-22 22:00:00+00,7,125,3,,,3,t
76,2023-03-29 20:00:00+00,2023-03-29 22:00:00+00,7,125,3,,,3,t
77,2023-04-05 20:00:00+00,2023-04-05 22:00:00+00,7,125,3,,,3,t
79,2023-04-19 20:00:00+00,2023-04-19 22:00:00+00,7,125,3,,,3,t
80,2023-04-26 20:00:00+00,2023-04-26 22:00:00+00,7,125,3,,,3,t
4000,2023-06-21 15:00:00+00,2023-06-21 18:00:00+00,21,125,139,,,3,t
82,2022-11-16 20:00:00+00,2022-11-16 22:00:00+00,1,125,4,,,3,t
83,2022-11-23 20:00:00+00,2022-11-23 22:00:00+00,1,125,4,,,3,t
85,2022-12-07 20:00:00+00,2022-12-07 22:00:00+00,1,125,4,,,3,t
86,2022-12-14 20:00:00+00,2022-12-14 22:00:00+00,1,125,4,,,3,t
87,2022-12-21 20:00:00+00,2022-12-21 22:00:00+00,1,125,4,,,3,t
88,2022-12-28 20:00:00+00,2022-12-28 22:00:00+00,1,125,4,,,3,t
89,2023-01-04 20:00:00+00,2023-01-04 22:00:00+00,1,125,4,,,3,t
91,2023-01-18 20:00:00+00,2023-01-18 22:00:00+00,1,125,4,,,3,t
92,2023-01-25 20:00:00+00,2023-01-25 22:00:00+00,1,125,4,,,3,t
93,2023-02-01 20:00:00+00,2023-02-01 22:00:00+00,1,125,4,,,3,t
94,2023-02-08 20:00:00+00,2023-02-08 22:00:00+00,1,125,4,,,3,t
95,2023-02-15 20:00:00+00,2023-02-15 22:00:00+00,1,125,4,,,3,t
96,2023-02-22 20:00:00+00,2023-02-22 22:00:00+00,1,125,4,,,3,t
98,2023-03-08 20:00:00+00,2023-03-08 22:00:00+00,1,125,4,,,3,t
99,2023-03-15 20:00:00+00,2023-03-15 22:00:00+00,1,125,4,,,3,t
100,2023-03-22 20:00:00+00,2023-03-22 22:00:00+00,1,125,4,,,3,t
101,2023-03-29 20:00:00+00,2023-03-29 22:00:00+00,1,125,4,,,3,t
102,2023-04-05 20:00:00+00,2023-04-05 22:00:00+00,1,125,4,,,3,t
104,2023-04-19 20:00:00+00,2023-04-19 22:00:00+00,1,125,4,,,3,t
105,2023-04-26 20:00:00+00,2023-04-26 22:00:00+00,1,125,4,,,3,t
4001,2023-06-28 15:00:00+00,2023-06-28 18:00:00+00,21,125,139,,,3,t
4002,2023-07-05 15:00:00+00,2023-07-05 18:00:00+00,21,125,139,,,3,t
