asset_id,person_id,on_behalf_of_id,disabled
1,445,220,f
2,445,220,f
3,445,220,f
4,445,220,f
5,445,220,f
6,445,220,f
7,445,220,f
8,445,220,f
9,445,220,f
1,501,500,f
21,445,220,f
22,445,220,f
23,445,220,f
24,445,220,f
25,445,220,f
32,885,884,f
1,295,5,f
2,295,5,f
3,295,5,f
4,295,5,f
5,295,5,f
6,295,5,f
7,295,5,f
8,295,5,f
9,295,5,f
21,295,5,f
22,295,5,f
23,295,5,f
24,295,5,f
25,295,5,f
9,544,43,f
4,857,856,f
1,448,224,f
2,448,224,f
3,448,224,f
4,448,224,f
5,448,224,f
6,448,224,f
7,448,224,f
8,448,224,f
9,448,224,f
24,857,856,f
21,448,224,f
22,448,224,f
23,448,224,f
24,448,224,f
25,448,224,f
2,857,856,f
3,857,856,f
4,820,819,f
8,820,819,f
1,312,44,f
2,312,44,f
3,312,44,f
4,312,44,f
5,312,44,f
6,312,44,f
7,312,44,f
8,312,44,f
9,312,44,f
21,312,44,f
22,312,44,f
23,312,44,f
24,312,44,f
25,312,44,f
21,857,856,f
6,857,856,f
23,857,856,f
7,820,819,f
1,329,63,f
2,329,63,f
3,329,63,f
4,329,63,f
5,329,63,f
6,329,63,f
7,329,63,f
8,329,63,f
9,329,63,f
33,885,884,f
21,329,63,f
22,329,63,f
23,329,63,f
24,329,63,f
25,329,63,f
6,820,819,f
1,332,66,f
4,332,66,f
5,332,66,f
6,332,66,f
7,332,66,f
8,332,66,f
23,332,66,f
24,332,66,f
25,332,66,f
15,552,551,f
14,552,551,f
16,552,551,f
35,885,884,f
34,885,884,f
16,899,898,f
12,899,898,f
15,899,898,f
14,899,898,f
32,903,902,f
32,907,906,f
33,907,906,f
31,907,906,f
34,907,906,f
35,907,906,f
33,544,43,f
32,872,871,f
33,872,871,f
12,445,220,f
13,445,220,f
14,445,220,f
15,445,220,f
16,445,220,f
31,872,871,f
16,329,63,f
12,329,63,f
13,329,63,f
14,329,63,f
15,329,63,f
35,872,871,f
12,295,5,f
13,295,5,f
14,295,5,f
15,295,5,f
1,505,504,f
16,295,5,f
16,881,880,f
12,881,880,f
14,881,880,f
13,881,880,f
12,448,224,f
13,448,224,f
14,448,224,f
15,448,224,f
16,448,224,f
1,587,586,f
3,587,586,f
5,587,586,f
6,587,586,f
8,587,586,f
9,587,586,f
2,374,121,f
3,374,121,f
21,374,121,f
22,374,121,f
23,587,586,f
4,374,121,f
5,374,121,f
6,374,121,f
7,374,121,f
8,374,121,f
23,374,121,f
24,374,121,f
25,374,121,f
16,764,763,f
12,764,763,f
14,764,763,f
22,857,856,f
9,857,856,f
25,857,856,f
31,885,884,f
13,899,898,f
33,903,902,f
34,903,902,f
7,395,150,f
1,395,150,f
8,395,150,f
6,395,150,f
4,395,150,f
5,395,150,f
24,395,150,f
25,395,150,f
23,395,150,f
2,395,150,f
3,395,150,f
21,395,150,f
22,395,150,f
9,395,150,f
5,560,43,f
4,560,43,f
45,544,43,f
35,544,43,f
2,560,43,f
21,560,43,f
25,560,43,f
12,560,43,f
16,560,43,f
15,560,43,f
31,560,43,f
33,560,43,f
32,560,43,f
64,560,43,f
46,560,43,f
54,560,43,f
55,560,43,f
42,560,43,f
50,560,43,f
62,560,43,f
32,439,156,f
33,439,156,f
35,439,156,f
42,439,156,f
43,439,156,f
44,439,156,f
46,439,156,f
47,439,156,f
48,439,156,f
50,439,156,f
52,439,156,f
53,439,156,f
54,439,156,f
55,439,156,f
31,805,804,f
62,439,156,f
64,439,156,f
66,439,156,f
32,398,157,f
33,398,157,f
35,398,157,f
42,398,157,f
43,398,157,f
46,398,157,f
47,398,157,f
48,398,157,f
50,398,157,f
52,398,157,f
53,398,157,f
54,398,157,f
55,398,157,f
62,398,157,f
64,398,157,f
66,398,157,f
21,587,586,f
2,587,586,f
22,587,586,f
7,587,586,f
4,587,586,f
24,587,586,f
25,587,586,f
24,820,819,f
2,820,819,f
12,401,161,f
13,401,161,f
14,401,161,f
15,401,161,f
16,401,161,f
13,764,763,f
22,820,819,f
5,820,819,f
4,485,43,f
2,485,43,f
25,485,43,f
31,485,43,f
34,872,871,f
15,881,880,f
24,560,43,f
7,560,43,f
22,560,43,f
23,560,43,f
13,560,43,f
35,560,43,f
34,560,43,f
48,560,43,f
47,560,43,f
23,544,43,f
52,560,43,f
53,560,43,f
45,560,43,f
43,560,43,f
44,560,43,f
66,560,43,f
12,409,169,f
13,409,169,f
14,409,169,f
15,409,169,f
16,409,169,f
7,416,177,f
1,416,177,f
8,416,177,f
6,416,177,f
4,416,177,f
5,416,177,f
24,416,177,f
23,416,177,f
25,416,177,f
2,416,177,f
3,416,177,f
21,416,177,f
22,416,177,f
9,416,177,f
5,720,719,f
2,720,719,f
6,720,719,f
1,720,719,f
7,393,148,f
1,393,148,f
8,393,148,f
6,393,148,f
4,393,148,f
5,393,148,f
24,393,148,f
23,393,148,f
25,393,148,f
2,393,148,f
3,393,148,f
21,393,148,f
22,393,148,f
48,544,43,f
9,560,43,f
3,560,43,f
6,560,43,f
8,560,43,f
1,560,43,f
14,560,43,f
1,602,601,f
2,602,601,f
22,602,601,f
4,602,601,f
32,643,642,f
33,643,642,f
15,764,763,f
9,602,601,f
8,602,601,f
7,424,189,f
1,424,189,f
8,424,189,f
6,424,189,f
4,424,189,f
5,424,189,f
24,424,189,f
23,424,189,f
25,424,189,f
2,424,189,f
3,424,189,f
21,424,189,f
22,424,189,f
9,424,189,f
25,602,601,f
8,857,856,f
3,820,819,f
21,820,819,f
23,820,819,f
12,426,192,f
13,426,192,f
14,426,192,f
15,426,192,f
24,485,43,f
16,426,192,f
3,485,43,f
31,643,642,f
12,416,177,f
13,416,177,f
14,416,177,f
15,416,177,f
16,416,177,f
12,424,189,f
13,424,189,f
14,424,189,f
15,424,189,f
16,424,189,f
12,395,150,f
13,395,150,f
14,395,150,f
15,395,150,f
16,395,150,f
8,485,43,f
12,312,44,f
13,312,44,f
14,312,44,f
15,312,44,f
9,485,43,f
16,312,44,f
14,485,43,f
35,485,43,f
4,887,886,f
12,398,157,f
13,398,157,f
14,398,157,f
15,398,157,f
16,398,157,f
24,720,719,f
