id,amount,currency,tax_id,description,"""timestamp""",effective_time,principal_id,account_code,kind,month,quantity,price_per_unit,amount_multiplier,key
9337,95.02,0,2,"Usages for Oven 1 for the month of Mar, 2023 at 401 Industrial",2023-04-02 17:39:49.503285+00,2023-04-02 17:39:49.503285+00,273,401,2,202303,54.29833333333334,1.75,,
9338,106.90,0,2,"Usages for Burner 3 for the month of Mar, 2023 at 401 Industrial",2023-04-02 17:39:49.503285+00,2023-04-02 17:39:49.503285+00,273,401,2,202303,71.26500000000001,1.5,,
7430,21.30,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,279,401,2,202211,21.301944444444445,1,,
7395,377.5,0,2,Planted Moving the plug down @401 (Labor),2022-12-01 20:14:32.597956+00,2022-11-30 20:14:14.718+00,125,443,0,,1,377.5,,
7396,408.11,0,2,Moving plug point downstairs (Material),2022-12-01 20:23:53.079112+00,2022-11-30 20:23:41.7+00,125,443,0,,1,408.11,,
7397,-300,0,2,Credit for freezer for 2 months as the contract changed in November 2022,2022-12-01 20:25:03.613193+00,2022-11-30 20:24:48.039+00,125,400,0,,2,-150,,
7398,5367.75,0,2,"Payment difference from old Contract to new contract as of November 1st, 2022",2022-12-01 20:26:25.006555+00,2022-11-30 20:26:09.719+00,125,400,0,,1,5367.75,,
7399,170.22,0,4,2% Interest for the month of November 2022,2022-12-01 20:37:36.011708+00,2022-11-30 20:36:05.987+00,156,470,0,,1,170.22,,
7400,36.74,0,4,Interest Charge of 2% on 1836.24 for November 2022,2022-12-01 20:43:10.579352+00,2022-11-30 20:42:38.915+00,124,470,0,,1,36.74,,
7401,131.17,0,4,2% Interest charges for November 2022,2022-12-01 20:45:05.951154+00,2022-11-30 20:44:55.627+00,288,470,0,,1,131.17,,
7402,712.5,0,2,Labor charges for lock ,2022-12-01 20:46:47.142382+00,2022-11-30 20:46:30.146+00,238,443,0,,7.5,95,,
7403,49.28,0,2,Material Charge for the lock ,2022-12-01 20:47:39.068121+00,2022-11-30 20:47:23.747+00,238,443,0,,1,49.28,,
7404,477.15,0,2,"Usages for Oven 1 for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,353.4408333333333,1.35,,
7405,478.07,0,2,"Usages for Range (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,318.71333333333337,1.5,,
7406,327.41,0,2,"Usages for Dble Burner 3 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,187.0894444444445,1.75,,
7407,344.29,0,1,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,,2,202211,255.03277777777774,1.35,,
7408,256.74,0,2,"Usages for Dble Burner 2 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,146.70972222222224,1.75,,
7410,202.54,0,2,"Usages for Dble Burner 1 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,115.73444444444443,1.75,,
7411,225.91,0,2,"Usages for Fryer (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,150.6086111111111,1.5,,
7412,8.89,0,2,"Usages for Mixer for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,5.928611111111111,1.5,,
7413,25.13,0,2,"Usages for Dble Burner 4 (Right) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,14.358888888888888,1.75,,
7414,0.00,0,2,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,0.0011111111111111111,1.5,,
7415,0.00,0,2,"Usages for Oven 1 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,168,401,2,202211,0.0025,1.5,,
7417,11.93,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,294,401,2,202211,6.8163888888888895,1.75,,
7418,2.35,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,294,401,2,202211,1.3450000000000002,1.75,,
7419,8.82,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,294,401,2,202211,5.04111111111111,1.75,,
7420,1.56,0,2,"Usages for Mixer for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,294,401,2,202211,0.9186111111111109,1.7,,
