principal_id,year,ordinal
50,2017,2
57,2017,10
40,2017,11
51,2017,11
35,2017,3
5,2017,11
31,2017,6
20,2017,11
46,2017,2
21,2017,11
6,2017,11
53,2017,11
47,2017,6
11,2017,3
29,2017,11
24,2017,9
7,2017,11
44,2017,11
16,2017,11
54,2017,3
45,2017,9
43,2017,1
56,2017,10
177,2020,12
161,2020,11
5,2020,12
122,2020,7
70,2020,8
65,2017,6
55,2017,5
13,2017,7
59,2017,10
41,2017,9
63,2017,10
61,2017,9
60,2017,8
58,2017,6
87,2017,2
77,2017,8
64,2017,4
62,2017,7
66,2017,9
75,2017,5
69,2017,9
76,2017,8
70,2017,8
72,2017,11
71,2017,8
149,2020,5
183,2020,9
56,2020,4
74,2017,7
79,2017,2
36,2017,2
80,2017,7
73,2017,8
81,2017,7
6,2020,4
148,2020,12
29,2020,5
78,2017,4
82,2017,4
83,2017,6
86,2017,2
78,2020,14
192,2020,11
85,2017,6
84,2017,5
131,2020,3
164,2020,12
90,2017,1
88,2017,4
91,2017,4
109,2018,1
89,2017,4
96,2020,12
174,2020,11
92,2017,3
98,2017,2
99,2017,2
97,2017,2
96,2017,2
41,2018,1
83,2018,1
103,2018,11
167,2020,13
105,2018,2
77,2018,11
51,2018,5
89,2018,7
65,2018,7
70,2018,11
102,2018,6
29,2018,11
72,2018,14
21,2018,2
104,2018,12
5,2018,11
20,2018,11
61,2018,4
100,2018,15
56,2018,13
96,2018,11
6,2018,11
91,2018,2
24,2018,12
81,2018,12
88,2018,10
66,2018,11
53,2018,2
40,2018,11
44,2018,11
84,2018,8
92,2018,6
97,2018,6
85,2018,9
13,2018,4
69,2018,12
63,2018,22
7,2018,11
47,2018,11
59,2018,18
16,2018,5
73,2018,1
76,2018,1
57,2018,13
93,2018,12
107,2018,6
93,2020,3
111,2018,5
117,2018,1
112,2018,14
106,2018,9
156,2020,16
191,2020,1
119,2018,2
99,2018,2
121,2018,20
118,2018,7
113,2020,12
116,2018,7
113,2018,13
74,2018,5
108,2018,8
79,2018,2
159,2020,9
124,2018,9
122,2018,7
78,2018,8
180,2020,18
205,2020,5
114,2018,1
125,2018,7
43,2018,4
129,2018,4
130,2018,6
166,2020,8
126,2018,7
127,2018,6
150,2020,11
186,2020,3
169,2020,12
132,2018,1
131,2018,5
133,2018,1
125,2020,12
69,2020,11
24,2020,12
66,2020,11
136,2018,2
137,2018,1
135,2018,4
44,2020,12
155,2020,3
172,2020,12
134,2018,3
139,2018,2
140,2018,3
142,2018,2
144,2018,2
147,2018,2
98,2018,1
138,2018,1
148,2018,1
149,2018,1
