id,description,subtotal_before_tax,tax_amount,quantity,price_per_unit,amount_multiplier,tax_id,charge_id,account_code,internal_note,invoice_id,status
13189,itemm1,1,0.05,1,1,1,2,,400,,3733,0
13315,Rent upstairs space from 12/12/2022 - 16/12/2022,750,37.5,5,150,1,2,,400,,3779,0
13882,"Usages for Oven 1 for the month of Dec, 2022 at 401 Industrial",57.08,2.85,32.617222222222225,1.75,,2,7828,401,,3960,0
13883,"1.75 station $4500 + GST
1 year contract ending March 31, 2023 for the month of January, 2023",4500,225.00,,,,1,7833,400,,3960,0
13884,"Usages for Burner 2 for the month of Dec, 2022 at 401 Industrial",9.57,0.48,4.251944444444445,2.25,,2,7829,401,,3960,0
12823,Planted Moving the plug down @401 (Labor),377.5,18.88,1,377.5,,2,7395,443,,3643,0
12824,Moving plug point downstairs (Material),408.11,20.41,1,408.11,,2,7396,443,,3643,0
12825,Credit for freezer for 2 months as the contract changed in November 2022,-300,-15.00,2,-150,,2,7397,400,,3643,0
12826,"Payment difference from old Contract to new contract as of November 1st, 2022",5367.75,268.39,1,5367.75,,2,7398,400,,3643,0
12827,"Usages for Oven 4 for the month of Nov, 2022 at 401 Industrial",111.47,5.57,63.69861111111111,1.75,,2,7448,401,,3643,0
12828,"Usages for Oven 5 for the month of Nov, 2022 at 401 Industrial",113.16,5.66,64.66222222222223,1.75,,2,7449,401,,3643,0
12829,"Usages for Oven 6 for the month of Nov, 2022 at 401 Industrial",125.45,6.27,71.68555555555555,1.75,,2,7450,401,,3643,0
12830,"Usages for Oven 2 for the month of Nov, 2022 at 401 Industrial",46.83,2.34,26.758888888888883,1.75,,2,7451,401,,3643,0
12831,"Usages for Oven 1 for the month of Nov, 2022 at 401 Industrial",56.45,2.82,32.255,1.75,,2,7452,401,,3643,0
12832,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",115.51,5.78,51.3375,2.25,,2,7453,401,,3643,0
12833,"Usages for Burner 3 for the month of Nov, 2022 at 401 Industrial",85.13,4.26,56.75222222222222,1.5,,2,7454,401,,3643,0
12834,"Usages for Burner 2 for the month of Nov, 2022 at 401 Industrial",168.17,8.41,74.74416666666667,2.25,,2,7455,401,,3643,0
12835,"Usages for Range Left for the month of Nov, 2022 at 401 Industrial",38.15,1.91,23.120555555555555,1.65,,2,7456,401,,3643,0
12836,"Usages for Small Mixer for the month of Nov, 2022 at 401 Industrial",13.02,0.65,8.680833333333332,1.5,,2,7457,401,,3643,0
12837,"Usages for Oven 3 for the month of Nov, 2022 at 401 Industrial",94.61,4.73,54.065,1.75,,2,7458,401,,3643,0
12838,"Usages for Large Mixer for the month of Nov, 2022 at 401 Industrial",43.66,2.18,24.94694444444444,1.75,,2,7459,401,,3643,0
12839,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",12.92,0.65,12.92,1,,2,7460,401,,3643,0
12840,"Contract ends December 2022 - uplift 5% 
$4770.00 - 1.8 full stations upstairs$2650.00 - 1 full station upstairs$2650.00- 1 full station downstairs$200.00 - extra storage upstairs$100.00 - 4 fridges & freezer plugged in$75.00 - fridge racks.   for the month of December, 2022",16335,816.75,,,,1,7533,400,,3643,0
13885,"Usages for Burner 3 for the month of Dec, 2022 at 401 Industrial",74.96,3.75,49.97555555555555,1.5,,2,7830,401,,3960,0
13886,"Usages for Double Low Burner for the month of Dec, 2022 at 401 Industrial",12.45,0.62,5.532222222222222,2.25,,2,7826,401,,3960,0
13887,"Usages for Range Left for the month of Dec, 2022 at 401 Industrial",9.37,0.47,5.67638888888889,1.65,,2,7832,401,,3960,0
13888,"Usages for Oven 2 for the month of Dec, 2022 at 401 Industrial",2.92,0.15,1.6713888888888888,1.75,,2,7831,401,,3960,0
13889,"Usages for Range Right for the month of Dec, 2022 at 401 Industrial",20.42,1.02,20.41583333333333,1,,2,7827,401,,3960,0
13890,Extra charged on rent ,-59.48,-2.97,1,-59.48,,2,7812,400,,3960,0
12847,Labor charges for lock ,712.5,35.62,7.5,95,,2,7402,443,,3647,0
12848,Material Charge for the lock ,49.28,2.46,1,49.28,,2,7403,443,,3647,0
12849,"Membership Fee for the month of December, 2022",0,0.00,,,,1,7576,,,3647,0
14175,"Usages for Oven 4 for the month of Dec, 2022 at 417 Industrial",7.89,0.39,4.511388888888889,1.75,,2,7929,401,,3991,0
14176,"Usages for Oven 3 for the month of Dec, 2022 at 417 Industrial",20.25,1.01,11.568888888888887,1.75,,2,7930,401,,3991,0
14177,"Usages for Oven 2 for the month of Dec, 2022 at 417 Industrial",0,0,0,1.75,,2,7932,401,,3991,0
14178,$950 + GST 1 year contract,950,47.5,1,950,,2,7974,400,,3991,0
14179,"Usages for Oven 1 for the month of Dec, 2022 at 417 Industrial",1.21,0.06,0.6922222222222223,1.75,,2,7931,401,,3991,0
17333,"Membership fee from June 1 2023 contract to full station  for the month of July, 2023",2650,132.50,,,,2,10501,400,,4673,0
17334,"Plug in charge per month  for the month of July, 2023",160,8.00,,,,2,10500,400,,4673,0
16060," for the month of May, 2023",0,0,,,,1,9716,,,4372,0
13177,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street - Downstairs",344.29,17.21,255.03277777777774,1.35,,1,7407,,,3729,0
13178,"Usages for Mixer for the month of Nov, 2022 at Laurel Street - Downstairs",8.89,0.44,5.928611111111111,1.5,,2,7412,401,,3729,0
13179,"Usages for Dble Burner 4 (Right) for the month of Nov, 2022 at Laurel Street - Downstairs",25.13,1.26,14.358888888888888,1.75,,2,7413,401,,3729,0
13180,"Usages for Range (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",478.07,23.9,318.71333333333337,1.5,,2,7405,401,,3729,0
13181,"$4200 x 5.5 Stations = $23,100.00, $3150 Small Station, $3900 Mochido's Space+ uplift 10% + $600 for 2 rack in freezer for the month of December, 2022",33765,1688.25,1,33765,,2,7645,400,,3729,0
18526,test,1,0.05,1,1,1,2,,,,4780,0
12864,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",11.93,0.60,6.8163888888888895,1.75,,2,7417,401,,3649,0
12865,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2.35,0.12,1.3450000000000002,1.75,,2,7418,401,,3649,0
12866,"Usages for Oven 4 for the month of Nov, 2022 at 417 Industrial",8.82,0.44,5.04111111111111,1.75,,2,7419,401,,3649,0
14283,"super light station $525 + GST
1 year contract ending Oct 31, 2022 for the month of December, 2022",600,30,,,,1,7788,400,,4072,0
12961,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",10.95,0.55,6.258611111111112,1.75,,2,7513,401,,3668,0
14306,"Full station, extra cold storage and freezers. $2775 + GST
1 year contract ends Dec 31 2022 for the month of January, 2023",0,0,,,,1,7964,,,4066,0
14311,"Usages for Oven 1 for the month of Dec, 2022 at 417 Industrial",0.03,0,0.014444444444444444,1.75,,2,7945,401,,4040,0
14312,"Usages for Range Right for the month of Dec, 2022 at 401 Industrial",0,0,0.0002777777777777778,1,,2,7947,401,,4040,0
12867,"Usages for Mixer for the month of Nov, 2022 at 417 Industrial",1.56,0.08,0.9186111111111109,1.7,,2,7420,401,,3649,0
12868,"Rent 2550 + 10% uplift (Start date 17th Oct ) contract for 6 months ends 16th April 2023 for the month of December, 2022",2805,140.25,,,,1,7569,400,,3649,0
12869,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street - Downstairs",28.32,1.42,20.98027777777778,1.35,,1,7421,,,3650,0
12870,"Usages for Mixer for the month of Nov, 2022 at Laurel Street - Downstairs",33.44,1.67,22.29222222222222,1.5,,2,7422,401,,3650,0
12871,"Usages for Dble Burner 4 (Right) for the month of Nov, 2022 at Laurel Street - Downstairs",28.57,1.43,16.324166666666667,1.75,,2,7423,401,,3650,0
