id,principal_id,"""timestamp""",received_date,amount,receiving_person_id,payment_method_id,payment_vendor_transaction_id,amount_applied
3220,294,2023-05-04 16:48:21.919+00,2023-05-03,13.76,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,13.76
3242,542,2023-05-10 20:55:28.554+00,2023-05-10,525.01,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,525.01
3263,572,2023-06-01 23:54:34.764+00,2023-05-29,472.5,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,472.5
3289,580,2023-06-12 16:35:45.766+00,2023-06-09,38.5,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,38.5
3309,592,2023-06-16 20:48:58.197+00,2023-06-16,1391.25,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1391.25
3329,553,2023-07-07 16:37:55.11+00,2023-07-07,498.75,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,498.75
3352,164,2023-07-11 19:19:56.01+00,2023-07-11,1700.59,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1700.59
3373,526,2023-07-24 19:26:48.846+00,2023-07-22,1059.52,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1059.52
3394,532,2023-08-04 22:54:48.163+00,2023-08-04,630.57,482,6cc09405-0336-4b36-9623-12d5b20ecbb6,,630.57
3417,252,2023-08-15 19:16:43.332+00,2023-08-03,1020.37,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1020.37
3437,167,2023-08-22 17:56:12.63+00,2023-08-18,11336.44,311,c905deaa-9732-4583-84d8-c6fd7e45aa22,,11336.44
3470,526,2023-09-13 04:27:58.682+00,2023-09-05,1050,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1050
3471,613,2023-09-13 04:28:35.636+00,2023-09-05,1942.5,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1942.5
3499,582,2023-10-05 17:58:12.09+00,2023-10-05,902.95,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,902.95
3500,252,2023-10-05 17:59:26.525+00,2023-10-04,1028.14,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1028.14
3530,273,2023-10-13 21:45:16.738+00,2023-10-13,2000,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,2000.00
3553,273,2023-10-31 23:24:33.215+00,2023-10-31,1090,311,b4c24f3d-97f5-4d7c-9898-eecd0502ce20,,1090.0000000000000
3590,601,2023-11-22 20:06:46.998+00,2023-11-15,3447.48,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,3447.48
3591,654,2023-11-22 20:07:47.765+00,2023-11-15,1848,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1848
3616,650,2023-12-04 19:47:51.899+00,2023-12-04,2283.75,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,2283.75
3645,584,2023-12-19 18:12:18.156+00,2023-12-19,1621.81,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1621.81
3664,285,2024-01-08 21:31:03.991+00,2024-01-07,1664.25,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1664.25
3665,629,2024-01-08 21:31:27.639+00,2024-01-04,472.5,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,472.5
3753,691,2024-02-09 20:13:28.005+00,2024-02-09,1602.93,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,1602.93
3790,689,2024-03-11 19:27:10.325+00,2024-03-04,945,485,6cc09405-0336-4b36-9623-12d5b20ecbb6,,945
3809,538,2024-03-11 20:14:35.406+00,2024-03-08,430,485,6cc09405-0336-4b36-9623-12d5b20ecbb6,,430
3833,723,2024-03-27 01:08:04.17+00,2024-03-26,789,311,6cc09405-0336-4b36-9623-12d5b20ecbb6,,789
3859,693,2024-04-05 20:07:03.323+00,2024-04-04,236,485,6cc09405-0336-4b36-9623-12d5b20ecbb6,,236.00
3883,683,2024-04-12 21:08:41.955+00,2024-04-09,519,485,6cc09405-0336-4b36-9623-12d5b20ecbb6,,519
3904,706,2024-04-17 21:20:43.871+00,2024-04-17,1231.15,,6cb09405-0336-4b36-9623-12d5b20eceb8,pi_3P6fuaErEU2Ft5WI1OtxS4YH_secret_0WuSDw5LDgnLhEkt8WiefcW0o,1231.15
