recipient_id,email_event_id,id2,is_email_sent_successfully,error_message,ticket_id,principal_id,id,invoice_id
518,6,,t,,,2,1,
495,7,,t,,3525,,2,
,8,,t,,3526,,3,
495,9,,t,,3525,,4,
,10,,f,,3529,,5,
,10,,f,,3528,,6,
,10,,f,,3527,,7,
,10,,f,,3524,,8,
,11,,t,,3527,,9,
,12,,t,,3528,,10,
,13,,t,,3529,,11,
,14,,t,,3530,,12,
,15,,t,,3531,,13,
495,16,,t,,,43,14,
,17,,t,,3533,,15,
,18,,t,,3514,,16,
,19,,t,,3530,,17,
,20,,t,,3526,,18,
,21,,t,,3533,,19,
,22,,t,,3543,,20,
,23,,t,,3540,,21,
,24,,t,,3524,,22,
,25,,t,,3548,,23,
,26,,t,,3549,,24,
,27,,t,,3545,,25,
,28,,t,,3546,,26,
,29,,t,,3550,,27,
,30,,t,,3551,,28,
,31,,t,,3547,,29,
,32,,t,,3552,,30,
,33,,t,,3555,,31,
,34,,t,,3553,,32,
,35,,t,,3547,,33,
495,36,,t,,3525,,34,
495,37,,t,,3525,,35,
,38,,t,,3554,,36,
,39,,t,,3526,,37,
,40,,t,,3559,,38,
,41,,t,,3512,,39,
,42,,t,,3560,,40,
,43,,t,,3564,,41,
,44,,t,,3561,,42,
,45,,t,,3566,,43,
,46,,f,,,547,44,
,46,,f,,,252,45,
,46,,f,,,521,46,
,46,,f,,,545,47,
,46,,f,,,294,48,
,46,,f,,,290,49,
,46,,f,,,588,50,
,46,,f,,,164,51,
,46,,f,,,167,52,
,46,,f,,,260,53,
,46,,f,,,285,54,
,46,,f,,,275,55,
,46,,f,,,156,56,
,46,,f,,,236,57,
,46,,f,,,237,58,
,46,,f,,,214,59,
,46,,f,,,621,60,
,46,,f,,,519,61,
,46,,f,,,190,62,
,46,,f,,,154,63,
,46,,f,,,234,64,
,46,,f,,,611,65,
,46,,f,,,523,66,
,46,,f,,,574,67,
,46,,f,,,17,68,
,46,,f,,,13,69,
,46,,f,,,172,70,
