   schemaname   |            tablename             | row_count 
----------------+----------------------------------+-----------
 ar             | account_codes                    |        10
 ar             | charges                          |      7745
 ar             | deposits                         |       443
 ar             | invoice_rows                     |      8013
 ar             | invoices                         |      1910
 ar             | payment_methods                  |         7
 ar             | payments                         |      2770
 ar             | stripe_company_payments          |         0
 ar             | stripe_company_subscriptions     |         0
 ar             | stripe_connected_account_payment |         0
 ar             | stripe_payments                  |         0
 ar             | stripe_refunds                   |         0
 ar             | stripe_subscriptions             |         0
 ar             | taxes                            |         5
 assets         | asset_classes                    |        36
 assets         | assets                           |        88
 assets         | booking_serieses                 |         0
 assets         | bookings                         |     10458
 assets         | bookings_schedule                |         0
 assets         | ecu_health                       |         0
 assets         | equipment_controller_assets      |         0
 assets         | equipment_controllers            |         0
 assets         | equipment_events                 |     31000
 assets         | gateway_pins                     |       349
 assets         | gateways                         |         6
 assets         | kiosk_assets                     |         0
 assets         | kiosk_assets_order               |         0
 assets         | kiosk_partitions                 |         0
 assets         | kiosks                           |         0
 assets         | permissions                      |         0
 assets         | usage_records                    |         0
 communications | communications                   |         0
 communications | email_events                     |         0
 communications | email_templates                  |         4
 communications | mailgun_events                   |         0
 communications | recipient_email_mappings         |         0
 documents      | document_kinds                   |         0
 documents      | documents                        |         0
 documents      | ticket_attachments               |         0
 doors          | access_grants                    |         0
 doors          | door_events                      |         0
 doors          | doors                            |         0
 doors          | locks                            |         0
 doors          | pin_space                        |         0
 doors          | pins                             |         0
 identity       | company_employees                |         0
 identity       | forgot_password                  |         0
 identity       | logins                           |         0
 identity       | principals                       |       435
 operations     | facilities                       |         7
 operations     | invoice_email_configuration      |         0
 operations     | operator_notes                   |         0
 operations     | operator_settings                |         0
 operations     | station_maps                     |         0
 sensors        | monnit_events                    |    142446
 sensors        | monnit_sensors                   |        14
 sensors        | remote_lock_events               |    291932
 tickets        | tags                             |        44
 tickets        | ticket_assignees                 |       372
 tickets        | ticket_events                    |      9828
 tickets        | ticket_resolved                  |         0
 tickets        | ticket_subscriptions             |         0
 tickets        | ticket_tags                      |      8001
 tickets        | tickets                          |      4452
(64 rows)

